true_values,predictions,errors
20050.0,20067.83629485746,-17.836294857461326
20084.5,20044.76683741185,39.73316258814884
20126.5,20072.67664301872,53.823356981280085
20095.5,20118.666306296516,-23.166306296516268
20105.5,20082.146645549055,23.353354450944607
20076.5,20095.532660485747,-19.03266048574733
20065.0,20063.05740049304,1.9425995069614146
20046.0,20057.315266143007,-11.315266143006738
20010.5,20038.965975289895,-28.46597528989514
20040.0,19998.68596472896,41.31403527103976
20047.0,20031.072681568014,15.92731843198635
20033.5,20039.119249099753,-5.619249099752778
20004.5,20029.49528434382,-24.99528434381864
20025.5,20003.7399395668,21.760060433200124
20054.5,20024.521313380967,29.978686619033397
20031.5,20050.573559568395,-19.073559568394558
20042.5,20028.150129794198,14.34987020580229
19977.0,20039.96991423965,-62.96991423964937
19944.5,19978.09428433554,-33.59428433554058
19932.5,19950.12531543973,-17.62531543973091
19905.0,19938.569167873946,-33.569167873945844
19912.0,19909.395899981904,2.604100018095778
19917.0,19910.996145104284,6.003854895716358
19931.5,19920.96579734461,10.53420265539171
19894.0,19933.643869705265,-39.64386970526539
19941.0,19897.15336697513,43.84663302487024
19955.0,19940.70151413077,14.298485869228898
19942.5,19956.90701003214,-14.407010032140533
19954.5,19945.10636108806,9.393638911940798
20006.5,19957.3980688258,49.1019311741984
20032.5,20002.546239051695,29.95376094830499
20011.0,20027.051369113622,-16.05136911362206
19984.5,20005.68426730669,-21.184267306689435
19988.0,19983.057578985925,4.94242101407508
20007.5,19986.70468418974,20.795315810260945
20009.0,20004.109539177312,4.890460822687601
19988.5,20002.984342268854,-14.484342268853652
19972.0,19985.596111056708,-13.596111056707741
20018.5,19971.027414002623,47.47258599737688
20028.0,20016.308735143277,11.691264856723137
20004.5,20025.383940617347,-20.883940617346525
20001.5,20002.85110346725,-1.351103467248322
19989.0,20003.628432316928,-14.628432316927501
20005.5,19990.7299373054,14.770062694598892
19974.0,20007.24977518006,-33.24977518005835
19993.0,19977.16942151545,15.830578484550642
19989.5,19997.199015821905,-7.69901582190505
19967.0,19992.96030872168,-25.960308721678302
19935.0,19974.304136055132,-39.3041360551324
19915.0,19947.431935371773,-32.43193537177285
19941.0,19927.90213322665,13.097866773350688
19971.0,19947.48212920751,23.517870792489703
19965.0,19968.697394463463,-3.6973944634628424
